
// medical
HEV_DEAD0 kezaeiv/singularity/player/death
HEV_DEAD1 limitlesspotential/cs/a!
HEV_DEAD2 limitlesspotential/cs/au
HEV_DEAD3 limitlesspotential/cs/ayno
HEV_DEAD4 limitlesspotential/cs/badbone
HEV_DEAD5 limitlesspotential/cs/ctmre
HEV_DEAD6 limitlesspotential/cs/dross
HEV_DEAD7 limitlesspotential/cs/fart
HEV_DEAD8 limitlesspotential/cs/omg
HEV_DEAD9 limitlesspotential/cs/soyun
HEV_DEAD10 limitlesspotential/cs/tmr
HEV_DEAD11 limitlesspotential/cs/asi
HEV_DEAD12 limitlesspotential/cs/yay
HEV_DEAD13 limitlesspotential/cs/zurdos
HEV_DEAD14 limitlesspotential/cs/zzz
HEV_DEAD15 limitlesspotential/cs/ala
HEV_DEAD16 limitlesspotential/cs/bell
HEV_DEAD17 limitlesspotential/cs/bonk
HEV_DEAD18 limitlesspotential/cs/carrot
HEV_DEAD19 limitlesspotential/cs/crit
HEV_DEAD20 limitlesspotential/cs/csm
HEV_DEAD21 limitlesspotential/cs/dies
HEV_DEAD22 limitlesspotential/cs/gay
HEV_DEAD23 limitlesspotential/cs/huegh
HEV_DEAD24 limitlesspotential/cs/mori
HEV_DEAD25 limitlesspotential/cs/moyai
HEV_DEAD26 limitlesspotential/cs/noooo
HEV_DEAD27 limitlesspotential/cs/oof
HEV_DEAD28 limitlesspotential/cs/oww
HEV_DEAD29 limitlesspotential/cs/pipe
HEV_DEAD30 limitlesspotential/cs/pum
HEV_DEAD31 limitlesspotential/cs/quemepegas
HEV_DEAD32 limitlesspotential/cs/slip
HEV_DEAD33 limitlesspotential/cs/sniper
